REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
91013,Active,HIS-327-01,Civil Rights Movement,TTH  ,2:30 PM  - 3:50 PM  ,"Lacson, Paul Albert ",10 /12 ,4.00000,,RECORD COUNT 702
91014,Active,HIS-342-01,Stalinism,TTH  ,2:30 PM  - 3:50 PM  ,"Cohn, Edward D ",6  /12 ,4.00000,,RECORD COUNT 702
91897,Active,HIS-377-01,Issues Making Modern China,MW  ,8:30 AM  - 9:50 AM  ,"Smith, Jomo R ",12 /12 ,4.00000,,RECORD COUNT 702
91010,Active,HIS-382-01,Modern Classics Hstrcl Wrtng,AR  ,,"Chou, Catherine ",9  /12 ,4.00000,,RECORD COUNT 702
91398,Active,HUM-101-01,Hum I: Ancient Greek World,TTH  ,2:30 PM  - 3:50 PM  ,"Smith, Paula V ",17 /20 ,4.00000,,RECORD COUNT 702
91892,Active,HUM-120-01,Intro to Material Cult Stds,TTH  ,1:00 PM  - 3:50 PM  ,"Maynard, Kelly ",7  /12 ,4.00000,,RECORD COUNT 702
91575,Cancelled,HUM-195-01,ST: Intro Material Cult Stds,TTH  ,1:00 PM  - 3:50 PM  ,"Maynard, Kelly ",12 /12 ,4.00000,,RECORD COUNT 702
91996,Active,HUM-195-02,ST: Intro to Sound Studies,MWF  ,8:00 AM  - 8:50 AM  ,"Sutaria, Sejal ",21 /25 ,4.00000,,RECORD COUNT 702
91121,Cancelled,HUM-200-01,Learning From Alumni,F  ,2:00 PM  - 3:50 PM  ,"Rietz, Henry W Morisada ",30 /30 ,2.00000,,RECORD COUNT 702
91285,Active,HUM-251-01,Children's & Young Adult Lit,MWF  ,2:00 PM  - 2:50 PM  ,"Greene, Raquel G ",22 /25 ,4.00000,,RECORD COUNT 702
91881,Active,HUM-295-01,ST: Dig Journ Pub: New Apprch,MWF  ,2:00 PM  - 2:50 PM  ,"Andelson, Jonathan; Baechtel, Mark",13 /16 ,4.00000,,RECORD COUNT 702
91912,Active,HUM-295-02,ST: Miscegenation Nation,TTH  ,2:30 PM  - 3:50 PM  ,"Lavan, Makeba N ",21 /25 ,2.00000,,RECORD COUNT 702
91933,Active,HUM-295-03,ST: Soc Chng Mid East Cinema,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Abdelfattah, Heba Arafa ",23 /25 ,4.00000,,RECORD COUNT 702
